puzzle_id,puzzle,solution,difficulty
1,000009000462300050009000007210030060004000000083040009020673400030004020005001000,178459632462317958359826147217935864594168273683742519821673495936584721745291386,0.048
3,000006000000930604000000037000100073013027060020359000159000800300600000080000092,231746958578931624964582137895164273413827569627359481159273846342698715786415392,0.144
5,040952080067043005980671020821090040639020801004310269000030007052000918090000000,143952786267843195985671324821796543639524871574318269418239657352467918796185432,0.066
6,000287001600400000402000000010045892508321000020008000240009780000002004009600005,953287641671493258482516379316745892598321467724968513245139786167852934839674125,0.06
8,900300005000406003308050006210000600007000380000100002702000009000040510140000008,964378125521496873378251946213785694457629381896134752782513469639842517145967238,0.102
17,040052080012007000080103902000020895006000004800004067760030529900270100003009408,349652781512897643687143952431726895276985314895314267768431529954278136123569478,0.185
24,000079420090084650074620000840902063300000000950103008705000004020710380003490000,638579421291384657574621839847952163316847592952163748765238914429716385183495276,0.037
25,004900315010754006850103000602000080780000542040080007968040031501830004030200658,274968315319754826856123479692475183783691542145382967968547231521836794437219658,0.015
31,007100080000008020000300005600801300000030006008700410050007201006290008204513000,427156983531978624869342175645821397712439856398765412953687241176294538284513769,0.022
34,000000000580700900000000410006405000070239001003601802040068200058100000000000080,129846537584713926367592418216485793875239641493671852941368275758124369632957184,0.118
36,450031900001000654000500300003860705005000800800000400000408000100072000064100070,456231987321987654789546321243869715695714832817325496972458163138672549564193278,0.181
37,000000400000063800016000700000008610080200905609010200000040100940005006068070000,273851469495763821816924753324598617781236945659417238537649182942185376168372594,0.001
38,609000000570060004000050000003178460010604002064900300006300080000080000100090603,689243157572861934341759826293178465815634792764925318426317589937586241158492673,0.109
41,000000000694850000005090000840005007520060018070084000317000904900700000400539000,281473569694852173735196842843915627529367418176284395317628954958741236462539781,0.201
44,700400000000602000400700000025070080008013907000050140000500034500007000070120000,769431825853692471412785369125974683648213957937856142281569734596347218374128596,0.21
46,400000900000010002000000578062500080704000025108600000800060309010000007003050806,427385961586719432391426578962573184734198625158642793845267319619834257273951846,0.013
47,000300005000014000640852000001567004005209000000030008180640000020000600000000840,712396485958714362643852917891567234435289176267431598189645723324978651576123849,0.061
52,000008006000200398000000051900000602060000039050930874040003000000792405000510980,392158746415267398678349251934875612867421539251936874549683127183792465726514983,0.095
56,002801070000000001500706000050002000104508000620000540068010307037020005900000000,392851674786234951541796823853942716174568239629173548268415397437629185915387462,0.016
58,700210040100000000003078006479020600002680000001000052000002894200000500050000200,785216349126943785943578126479125638532689471861437952617352894298764513354891267,0.009
63,140009030300607009000040000007004900001785000800100700000530000000020098483006002,146859237352617849798342516537264981961785423824193765219538674675421398483976152,0.103
67,500903800600400009000800000100009600856174900007026008305091786010048030200005090,571963842682457319934812567123589674856174923497326158345291786719648235268735491,0.222
70,037680090080304000510709030008007641002400709000000200423076015900042370870930460,237685194689314527514729836398257641152463789746198253423876915961542378875931462,0.051
71,005008079060701080800000200000009018097005032500000060003840091009300000700002053,325468179964721385871593246432679518697185432518234967253846791189357624746912853,0.181
74,800000002700000106000026780001205000206008403030641800008000350000060200072100000,869317542724589136513426789481235697256798413937641825648972351195863274372154968,0.233
75,000001500030096080000000300900002415508063070017000000000000053074030290052910706,729381564435296187681457329963872415548163972217549638196724853874635291352918746,0.085
82,300000008000100605600537090003612879100803050080000000200000960806000047000000001,351946728497128635628537194543612879169873452782459316214785963836291547975364281,0.207
83,079010030043008009800070100010906504090187200030005018000093050000500690950000301,579412836143658729826379145218936574495187263637245918761893452384521697952764381,0.228
91,320004076800506100000000280003087900000040000200000001005000018000300005986050720,321894576897526134564713289453187962618942357279635841735269418142378695986451723,0.183
100,070430050402000130800572090960013000008054301015086020090107000500009210000000073,679431852452698137831572694964213785728954361315786429293167548587349216146825973,0.13
103,090000010046000050070500490413680075000235004000170039900452000001096003600318007,592847316346921758178563492413689275769235184825174639937452861281796543654318927,0.23
108,000506000040700801100000072000170305013005028000008007500004000000060009009257043,278516934345729861196483572864172395713945628952638417521394786437861259689257143,0.201
110,003024000000935278000860030009080000381672905000010000200000000000156002000000010,893724651146935278572861439759483126381672945624519387215398764437156892968247513,0.188
114,000107859008240000190865000000400000087501003000600290009082506000710020002000070,624137859578249631193865742956423187287591463431678295749382516365714928812956374,0.048
119,501700900008010407972063080090000705000076090703945016609050230054090078000684000,541728963368519427972463581896231745415876392723945816689157234154392678237684159,0.029
121,600920000300041070094070008000000040040000607006407805903060182081009060002000000,678923451325841976194576328837615249549382617216497835953764182481259763762138594,0.077
132,000000305087954100090360070000590030003002058058000000049005200200000000036000500,164827395387954126592361874421598637673142958958673412849715263215436789736289541,0.171
135,010968073307000895498057206981035040000179000005000000000790000000521600050006300,512968473367214895498357216981635742234179568675482931826793154743521689159846327,0.164
139,090400310002000090403201000067004208000600009084902030100548027200700146049006000,895467312612853794473291865967314258321685479584972631136548927258739146749126583,0.115
146,000570003900003207300240005600005000095700036070036000009061058831000004040300020,462578913958613247317249685683195472195724836274836591729461358831952764546387129,0.222
150,000030900050000000400000000000023060205140093030800100501082000007065281008000450,816534927753291648492678315189723564275146893634859172561482739347965281928317456,0.22
154,002831075005276001710945302540000800079510200000000100200700010600100728000009034,462831975935276481718945362541362897379518246826497153253784619694153728187629534,0.075
156,100008360030000508020700401200049080041082070005106200402937810819020730060010902,194258367637491528528763491276549183941382675385176249452937816819625734763814952,0.221
158,602000010000580620003000004007109480000600009300804750238946000040207060065008000,652493817974581623813762594527139486481675239396824751238946175149257368765318942,0.133
165,864015090007402003350090641080570904009000000500000200008009075070000309930240180,864315792197462853352798641286573914719624538543981267628139475471856329935247186,0.173
168,080060100000592006640010030008056703050801024070030085410600008502080001097005002,289364157731592846645718239928456713356871924174239685413627598562983471897145362,0.112
169,740920006380060000096578400000600005000000004000005760200009000000800000561002008,745923816382164579196578423923647185657281394814395762238419657479856231561732948,0.009
179,700085023000000040365002008010000970483029000000500000000690001050300000000200000,741985623892163745365472198516834972483729516927516384234697851159348267678251439,0.235
191,000000006000200004000007805030004060000305000008600350600703010800049600370080249,584931726967258134123467895735814962296375481418692357649723518852149673371586249,0.145
193,000600009906005713057301000300008000040050301200003000730000020000900130102706090,413627589926845713857391264391478652648259371275163948739514826564982137182736495,0.084
198,510700046074069058902054001039206000700000023001305097090407060000603700627500030,518732946374169258962854371439276815756981423281345697893417562145623789627598134,0.008
200,900100007700003049804007260078004620400000050601835904067000000009300015300201090,956142837712683549834597261578914623493726158621835974167459382249368715385271496,0.189
202,002000608080000904913406570000579000000204800650100007060000000800900306009643085,472395618586721934913486572238579461197264853654138297361852749845917326729643185,0.215
203,004007000609000000000354000806531007000206080000409010200905731005003000903802504,314697258659128473782354196826531947491276385537489612268945731145763829973812564,0.009
211,050004320100800000000050001486000917009400500570000000090200103034007000708000000,857164329162839754943752681486523917329471568571986432695248173234617895718395246,0.113
218,061009003350006080704000296000000030403080009070002000590040302102008074600000800,261879453359426781784315296826954137413687529975132648598741362132568974647293815,0.129
220,805423009000508006004700000340270905050049617070105432000830094080004260002607000,865423179127598346934761528341276985258349617679185432516832794783954261492617853,0.13
224,009081604800406300467030050000050906170009005000004783020793100693100507000600439,239581674815476392467932851342857916178369245956214783524793168693148527781625439,0.153
228,000106924206000000000032060100600395400000002030001700801003409007080000300000870,783156924216947583945832167178624395459378612632591748821763459567489231394215876,0.092
230,700000905510960032239745010000670500000500001000080600100800300603400007800300000,786231945514968732239745816321674598968523471475189623152897364693452187847316259,0.232
231,030904201040050700090061503000085900009007050156009030000730000020190304060000000,538974261641253798792861543473685912289317456156429837914738625825196374367542189,0.158
233,871000602065792000000008540300010978000380006000000200000000060010070020000001089,871435692465792831239168547356214978192387456784956213947823165518679324623541789,0.083
241,600000400590014007740009000000000000200000080109040600000050030005400079087090500,613275498598314267742689315856921743274536981139847652961752834325468179487193526,0.122
245,900320000054096300802145076003609000608200540000400000001900607000800204000500091,976328415154796382832145976413659728698217543725483169281934657569871234347562891,0.14
251,000780420030610000720090100570360014000000000100007508300040000610000040400200630,951783426834612759726594183579368214248951367163427598392146875617835942485279631,0.055
252,006200300005080007000000015000006001000904653061070002000050180008000020000802009,716245398945183267823697415439526871287914653561378942372459186698731524154862739,0.098
262,600003000904000638000008415497835060501002000823000057205789046046300009009060503,658143792914527638372698415497835261561972384823416957235789146746351829189264573,0.169
279,605000000042000009003040000190203487008067905050080236230006594060930072080000003,615392748842671359973548621196253487328467915754189236237816594561934872489725163,0.085
291,008000000000075086006380510000700098700018000680003001060000000805600049000050060,578146932391275486246389517154762398739518624682493751463921875825637149917854263,0.193
292,150709800200060005000130729008016457001500003507000061362400500015000300794050000,153729846279864135486135729938216457621547983547983261362471598815692374794358612,0.007
