puzzle_id,puzzle,solution,difficulty
7,040100000026940700010306209060200508050800902098500006132009000009003000080010305,947128653326945781815376249463291578751864932298537416132459867579683124684712395,0.937
10,652309014370008900000602050200860079400100025090520140800200000020080430000905007,652379814371458962984612753215864379438197625796523148847231596529786431163945287,0.917
14,000030000030500009901000635004652980352090461600103520040006000263900048107008306,526739814438561279971284635714652983352897461689143527845376192263915748197428356,0.951
18,007008530080010249014000670042180050000070062700295000000500700000760000005000100,697428531583617249214953678942186357851374962736295814168549723329761485475832196,0.902
20,067090500058000000200016004621070800005260007039450006900130070502004901310709458,467892513158347269293516784621973845845261397739458126984135672572684931316729458,0.843
22,904020000806007020502398400000005000095632780087010003059083040020050000340000200,914526378836147529572398461463875912195632784287419653759283146621954837348761295,0.876
27,001854970420690001579100000000089100000020400862301705700000800000400010200068507,631854972428697351579132684354789126197526438862341795745213869986475213213968547,0.943
40,102907080006120509800005032007501693903000854008390217004700000705000000690053708,152937486436128579879645132247581693913276854568394217384712965725869341691453728,0.789
43,000006080405890070900300054050239840102700360000004000230900000594601030870403200,713546982465892173928317654657239841142785369389164527236978415594621738871453296,0.96
45,201870030479000810038040097007030020900056008080000051003907000120004760004605183,251879634479263815638541297517438926942156378386792451863917542125384769794625183,0.828
48,080003009300659817901074002094006780038000264005480100500000300000041020006508001,687213459342659817951874632194326785738195264265487193519762348873941526426538971,0.906
49,360002000100069000400030205906500020000620000502790003200915876780306002059270430,367452198125869347498137265936581724874623519512794683243915876781346952659278431,0.964
50,109200307067503000005090000300409500070318040000600000704800003020041870800700090,189264357467583912235197486316479528572318649948625731794852163623941875851736294,0.95
51,002000000407012065850476001000039400000201750700048029105000002000850607006000008,612385974437912865859476231521739486948261753763548129185697342294853617376124598,0.973
53,820640700010007060673100280000080030002036159030290070056370900000500600000900000,825643791419827365673159284961785432782436159534291876156374928398512647247968513,0.791
55,000900000700003000259700041000217600020398070870400039502600413106034700007821906,413952867768143592259786341935217684624398175871465239582679413196534728347821956,0.757
57,057040600200000457069502000503000804000000300000150270100900000705000900048007531,357841629281369457469572183573296814612784395894153276126935748735418962948627531,0.987
62,900500407003904000010063800420000300036090000800007012700005080080070000050800000,968512437273984156514763829427156398136298745895347612741625983382479561659831274,0.922
65,967000325001902080238000014500206047004083000600000890016507009000009200729308560,967814325451932786238675914583296147194783652672451893816527439345169278729348561,0.831
69,000379600097000000003000900800037216000200809032100050004083002380602094720914500,218379645497865321563421978849537216175246839632198457954783162381652794726914583,0.912
78,000120000020050190100600702060001274002000806000286000006005420549700008031040007,398127645627854193154639782863591274912473856475286931786315429549762318231948567,0.954
80,006010098074098020000032700083204000090860070000900006327180609000300510001006302,236517498574698123819432765683274951195863274742951836327185649468329517951746382,0.886
81,580060094090000000000000000052700080008021509100809000870100000020000015010400030,581267394297543168346918752952734681738621549164859273873195426429376815615482937,0.924
85,000008000070000020000406000080602400036000050205019076000080000860230190004700000,653128947471593628928476531789652413136847259245319876312985764867234195594761382,0.752
88,701093060049520000826004593007000008512900070038017920004065002200081009000249007,751893264349526781826174593497652138512938476638417925984765312275381649163249857,0.799
89,034219700028357096750000030200900048340020600000400250000081907000000500500694000,634219785128357496759846132217965348345128679896473251463581927981732564572694813,0.96
92,000106930090000821041090000000010089009030506570060000010600700260700090000849002,725186934693475821841392657436517289189234576572968413918623745264751398357849162,0.929
94,082734690030200004004950008000000009075060000000090370090010000040009000050007900,582734691139286754764951238316872549975463812428195376297318465643529187851647923,0.857
117,351400709200000000000230150805000003920870001000003805600592430030710980097000010,351486729249157368786239154875641293923875641164923875618592437532714986497368512,0.785
124,700054002000000000000000000674005023008702100001400000062040300045083017830019064,716854932259376481483921675674195823598732146321468759162547398945683217837219564,0.903
130,090640010037001000400500700060975000004020009902000000320000090000350071570802004,295647813637281945418539726163975482754128639982463157326714598849356271571892364,0.986
