puzzle_id,puzzle,solution,difficulty
2,000100000460000010050200809280001000940020000000905200020009000070000098009000627,792183456468597312153264879287341965945826731631975284826759143374612598519438627,0.685
11,002000000030001900400060705203009400900008601081030529820000000006010200000020000,172945863635781942498362715263159487954278631781436529827693154346517298519824376,0.581
12,300210000249065100000030200000003000030076028000502010027698300693701842058024076,385217694249865137716439285872143569531976428964582713427698351693751842158324976,0.693
15,000007000600000790070300016492560070060004021001000040000006007006000002803000904,149657283638142795275398416492561378367984521581723649924836157756419832813275964,0.674
16,482960150506831004300250000035100200200570016060300500120098030007003400603005071,482967153576831924319254768935186247248579316761342589124798635857613492693425871,0.632
23,800000600063000750051300892005020000400089500100050906010038400007900200000702009,849275631263891754751346892395627148426189573178453926912538467637914285584762319,0.503
26,700000900400001050500000760082670495076840100040900007093007000250000010000200009,761528934439761852528394761182673495976845123345912687693157248257489316814236579,0.604
28,010608305532700000408000000000005000120804009800200003000006000000300500603002007,719648325532719846468523791347965182125834679896271453974156238281397564653482917,0.738
29,950030768000408215010067904096004003401003500000900400009800300800070050035000090,954231768367498215218567934596724183421683579783915426179856342842379651635142897,0.537
33,000000710085010000070002680701200006000030000009076800020007069560040000010600058,392865714685714293174392685731289546856431927249576831428157369563948172917623458,0.551
35,000523100069700300010080000000145000020007000500300800796031005000006070000208000,478523169269714358315689742987145623623897514541362897796431285832956471154278936,0.69
39,020800000086000104090370800070530000010760000063040200007000028030607000850420700,725814963386295174491376852978532641214768539563149287647951328132687495859423716,0.601
54,000206700000070080030000002000452090040130000000860000750308120280790060003025807,498216735162573984537984612871452396645139278329867451756348129284791563913625847,0.501
59,006250409007000003000400801000002635600000028000609147701328090000500786000007010,186253479457891263239476851974182635613745928825639147761328594392514786548967312,0.652
60,040620000000040200010030400984010000671902003300080961790560034400073029160090008,849625317537841296216739485984316572671952843325487961792568134458173629163294758,0.69
61,900001807001870004807420006604180300058230409023946001300500048205704010000300200,942651837561873924837429156694185372158237469723946581319562748285794613476318295,0.502
64,020005001070200000195400028000908010910650070000010000560304007040507609380160040,624875391873291456195436728756948213912653874438712965569324187241587639387169542,0.641
66,700050900640270001053400060000000009000090600030004000308000090004000100060900028,712658934649273581853419267471326859285791643936584712328167495594832176167945328,0.706
73,004298507235040809098365001400150000021879000007400000000513086103680205000027000,614298537235741869798365421469152378321879654587436912942513786173684295856927143,0.741
77,908400120100069000000271869300010000004980301000000092239608700010090204807100006,968453127172869543453271869396512478724986351581734692239648715615397284847125936,0.523
86,103057900207308050005014030000000701316000809870040005968002003700601500021000678,143257986297368154685914237452839761316725849879146325968572413734681592521493678,0.543
87,003500008000304000000010200000000820036108000700003050060000500019605002050001300,173529648625384719984716235541967823236158974798243156867432591319675482452891367,0.666
93,120300600000016037063800000008900720709001005201080309002000006390000042405060890,127349658584216937963857214648935721739621485251784369812493576396578142475162893,0.503
95,902675000006000000100000600800006002063000008201387409040850210000010083000002000,982675341536491827174238695897546132463129578251387469749853216625714983318962754,0.54
99,869050024000804900020003708392006070406010893700009000940060100678145000003978000,869751324537824916124693758392486571456217893781539642945362187678145239213978465,0.617
104,400300006000060050710042300538010060000005000160008905300000680000183509000000003,485391726923867451716542398538419267297635814164278935371954682642183579859726143,0.746
105,000030108200607930400009007302500700060903405000761083623874090509000072170205000,796432158281657934435189627312548769867923415954761283623874591549316872178295346,0.59
109,600009500500000090008451000070000000083500001100980200040000108801002056000108029,637829514514367892928451367479213685283576941156984273742695138891732456365148729,0.632
112,740010000009703020302068497000100740070006305030409680100304070490027060087051000,746912853859743126312568497628135749974286315531479682165394278493827561287651934,0.73
120,100602054000000002520000630000040200090080415714050008400009300000010007300067100,139672854648135792527498631865941273293786415714253968471529386986314527352867149,0.501
126,720006400000020560906000000091000300205693148403000000002005080000002610067000250,728356491314829567956471832691248375275693148483517926142965783539782614867134259,0.557
128,076431005940078201810000406790806000601000000358700010060005907500000000000167500,276431895945678231813259476794816352621543789358792614162385947537924168489167523,0.707
131,827135400401000050060908217005000002000000380038760105086002500902400601374000020,827135469491276853563948217645813792719524386238769145186392574952487631374651928,0.585
134,510874930392165000040009615721698300000700061608000009200010080080046120000000096,516874932392165748847329615721698354459732861638451279265917483983546127174283596,0.689
137,006103908003000100000005070000000400005000001102000069924386007007000892010000600,476123958853769124291845376739612485685974231142538769924386517367451892518297643,0.58
138,002095840300000709509008260821074906000810000095032100060980400057000600240006007,672395841384261759519748263821574936436819572795632184163987425957423618248156397,0.677
